type,lat,lng
Fedex,33.65187265,-84.50208446
Fedex,48.9918889,-122.7291559
Fedex,42.99836212,-78.91553526
Fedex,44.9933259,-73.4245729
Fedex,42.00938951,-87.95813387
Fedex,32.95587932,-97.02840252
Fedex,42.22252612,-83.37975613
Fedex,31.72076427,-106.2877156
Fedex,27.6148141,-99.52020359
Fedex,33.87621882,-118.2741279
Fedex,42.90967962,-82.51756777
Fedex,32.54974011,-116.9613905
Fedex,47.33358542,-122.2315422
UPS ,38.1860308,-85.7416476
UPS ,39.87302045,-75.24380678
UPS ,32.90001627,-97.04036739
UPS ,34.06032899,-117.5979558
UPS ,42.20210875,-89.09879633
